Team,balls_faced,matches_played,runs,4s,6s,1s,2s,0s,dismissals,balls_bowled,runs_conceded,4s_conceded,6s_conceded,1s_conceded,2s_conceded,0s_conceded,wickets_taken,noballs_conceded,legbyes_conceded,wides_conceded,byes_conceded,catches_taken,run_out_taken,bowled_taken,stumped_taken,lbw_taken,Season
Delhi Capitals,1684,14,2061,188,84,618,88,601,76,1545,2168,161,71,560,115,558,74,1.0,21,48,4,48,2,13,3.0,7.0,2015
Kolkata Knight Riders,1472,13,1939,206,64,545,85,486,78,1545,2044,175,90,576,67,549,79,6.0,26,47,6,44,9,17,5.0,2.0,2015
Mumbai Indians,1954,16,2611,242,120,663,121,697,87,1964,2734,249,93,719,134,652,95,14.0,23,70,3,65,9,12,3.0,3.0,2015
Punjab Kings,1637,14,1902,147,79,606,105,605,105,1619,2018,211,91,561,98,550,72,10.0,33,57,1,43,6,15,3.0,4.0,2015
Rajasthan Royals,1599,13,2043,188,65,607,136,517,81,1740,2143,225,85,552,129,627,76,7.0,31,70,7,45,11,11,0.0,5.0,2015
Royal Challengers Bangalore,1576,16,2190,206,105,526,98,542,79,1616,2311,194,81,606,93,551,103,5.0,25,56,3,59,11,21,4.0,5.0,2015
Sunrisers Hyderabad,1661,14,2117,185,79,635,120,563,81,1567,2210,184,83,571,101,533,79,4.0,32,54,3,48,7,19,1.0,2.0,2015
Chennai Super Kings,1923,16,2519,205,112,734,140,624,70,1902,2650,216,106,686,122,674,98,3.0,31,46,6,56,8,25,1.0,7.0,2014
Delhi Capitals,1675,14,1978,177,63,669,96,589,86,1565,2081,178,86,576,107,511,60,7.0,38,55,2,33,8,14,2.0,2.0,2014
Kolkata Knight Riders,1879,16,2382,223,77,720,140,614,89,1950,2499,209,77,688,157,721,95,8.0,41,37,4,41,12,24,7.0,8.0,2014
Mumbai Indians,1800,15,2235,197,86,651,124,643,90,1811,2353,194,86,645,134,652,73,5.0,35,52,2,40,6,18,6.0,2.0,2014
Punjab Kings,2053,17,2824,262,127,671,156,693,95,2065,2987,240,107,722,148,731,113,11.0,34,65,3,69,9,24,4.0,7.0,2014
Rajasthan Royals,1673,14,2070,167,86,568,137,624,88,1673,2166,169,77,647,118,544,86,6.0,44,53,8,52,11,14,2.0,4.0,2014
Royal Challengers Bangalore,1657,14,1992,165,92,548,106,664,82,1677,2093,172,75,625,117,577,73,10.0,28,59,8,51,6,11,2.0,2.0,2014
Sunrisers Hyderabad,1640,14,1943,167,72,615,106,566,74,1657,2102,185,101,587,102,607,76,5.0,30,32,4,49,7,12,1.0,4.0,2014
Chennai Super Kings,2098,18,2671,241,84,799,182,686,90,2110,2778,224,90,751,134,800,123,5.0,39,58,1,77,12,15,2.0,11.0,2013
Delhi Capitals,1942,16,2114,211,52,690,125,762,112,1897,2245,235,71,689,129,679,76,4.0,31,47,3,45,10,9,2.0,3.0,2013
Kolkata Knight Riders,1923,16,2134,222,56,655,102,767,102,1922,2290,193,73,769,108,691,97,5.0,28,41,8,48,9,22,3.0,10.0,2013
Mumbai Indians,2312,19,2845,252,117,854,128,851,114,2289,2975,271,81,804,129,873,123,11.0,38,66,7,78,6,23,2.0,10.0,2013
Pune Warriors,1942,16,2183,190,76,701,116,777,111,1924,2262,231,76,742,125,662,83,6.0,21,53,1,56,4,13,1.0,8.0,2013
Punjab Kings,1866,16,2312,244,65,668,128,666,104,1920,2428,227,78,682,111,730,82,8.0,36,40,5,43,5,24,1.0,7.0,2013
Rajasthan Royals,2157,18,2571,267,70,789,129,792,94,2181,2705,238,62,751,172,813,112,4.0,52,79,1,66,14,21,1.0,6.0,2013
Royal Challengers Bangalore,1893,16,2460,230,106,620,128,697,78,1888,2601,229,75,688,137,654,105,10.0,31,49,4,64,9,21,2.0,6.0,2013
Sunrisers Hyderabad,2044,17,2197,196,54,792,136,761,107,2046,2318,205,74,692,129,857,111,9.0,24,45,4,62,10,22,4.0,9.0,2013
Chennai Super Kings,2183,18,2717,223,102,824,174,753,101,2112,2831,225,82,830,115,736,108,4.0,37,72,4,68,13,18,2.0,4.0,2012
Deccan Chargers,1814,15,2202,188,77,742,106,612,89,1815,2312,189,95,665,132,631,83,9.0,25,57,6,48,5,21,1.0,4.0,2012
Delhi Capitals,1979,18,2502,232,97,732,117,695,94,2133,2645,273,81,799,113,765,101,5.0,31,56,3,59,16,19,2.0,4.0,2012
Kolkata Knight Riders,2023,17,2356,210,69,819,127,672,94,2035,2504,180,70,829,130,731,107,6.0,32,47,6,62,12,18,8.0,6.0,2012
Mumbai Indians,2054,17,2333,219,79,763,99,777,107,2073,2462,207,87,771,122,763,106,10.0,26,80,3,58,10,23,2.0,8.0,2012
Pune Warriors,1975,16,2183,181,60,805,134,679,104,1905,2321,197,82,783,108,650,79,13.0,27,32,8,47,10,16,3.0,2.0,2012
Punjab Kings,1927,16,2286,226,61,713,144,697,102,1931,2390,217,77,713,122,693,93,6.0,37,52,6,58,7,18,2.0,4.0,2012
Rajasthan Royals,1961,16,2393,246,69,732,119,694,84,1921,2516,204,68,729,130,665,92,7.0,44,58,7,51,4,22,4.0,6.0,2012
Royal Challengers Bangalore,1851,15,2351,186,117,687,92,662,83,1842,2472,219,89,698,140,607,89,2.0,36,43,5,57,8,11,5.0,4.0,2012
Chennai Super Kings,1947,16,2461,204,91,777,147,635,74,1874,2560,196,66,703,130,671,91,3.0,29,61,4,51,8,15,5.0,4.0,2011
Deccan Chargers,1719,14,2039,194,48,726,103,563,87,1675,2140,191,66,533,107,680,84,13.0,30,46,7,50,4,20,3.0,5.0,2011
Delhi Capitals,1665,14,1942,185,75,546,95,654,95,1554,2087,203,70,550,74,554,67,12.0,30,50,8,44,6,15,0.0,2.0,2011
Kochi Tuskers Kerala,1582,14,1758,170,53,570,85,595,86,1614,1901,179,66,550,101,626,74,7.0,29,52,2,35,12,16,1.0,8.0,2011
Kolkata Knight Riders,1675,15,1905,191,45,646,99,603,71,1770,2023,186,50,695,94,642,88,5.0,28,54,9,44,12,21,3.0,6.0,2011
Mumbai Indians,1907,16,2143,221,57,701,101,709,82,1897,2288,216,59,711,92,709,103,8.0,33,58,9,53,12,25,3.0,5.0,2011
Pune Warriors,1526,13,1674,154,60,486,101,643,83,1628,1775,152,58,614,108,617,76,7.0,23,35,9,51,4,10,3.0,6.0,2011
Punjab Kings,1705,14,2080,218,74,571,82,648,88,1596,2224,218,68,554,88,579,81,3.0,25,48,4,50,3,12,3.0,10.0,2011
Rajasthan Royals,1452,13,1601,152,42,505,104,579,68,1460,1687,165,47,537,103,530,62,10.0,23,38,5,34,7,11,5.0,2.0,2011
Royal Challengers Bangalore,1835,16,2325,224,94,649,101,653,79,1945,2469,207,89,730,121,674,87,15.0,32,63,9,60,6,11,2.0,6.0,2011
Chennai Super Kings,1951,16,2442,212,98,731,124,654,89,1974,2604,225,85,696,111,729,103,8.0,43,69,5,56,13,17,8.0,9.0,2010
Deccan Chargers,1943,16,2244,197,84,689,124,736,114,1925,2374,217,85,686,119,696,102,8.0,37,63,9,62,9,16,4.0,8.0,2010
Delhi Capitals,1686,14,2028,190,58,676,109,553,88,1713,2155,187,75,651,83,617,96,10.0,29,49,3,50,15,21,6.0,3.0,2010
Kolkata Knight Riders,1716,14,1978,199,63,617,82,628,71,1653,2144,218,53,658,118,523,73,4.0,25,44,8,38,5,20,3.0,4.0,2010
Mumbai Indians,1995,16,2553,261,75,729,151,633,102,1927,2738,209,60,766,137,632,101,7.0,33,69,10,47,15,26,3.0,5.0,2010
Punjab Kings,1716,14,2165,234,58,643,103,574,81,1708,2288,223,72,648,111,539,76,12.0,27,66,3,41,10,14,5.0,3.0,2010
Rajasthan Royals,1664,14,2072,202,74,593,102,606,94,1621,2179,212,72,599,104,525,80,3.0,29,66,6,48,13,12,2.0,3.0,2010
Royal Challengers Bangalore,1827,16,2272,214,77,711,111,612,86,1977,2401,218,85,685,123,735,94,10.0,35,72,5,53,13,15,5.0,6.0,2010
Chennai Super Kings,1709,14,2084,192,73,651,105,588,81,1626,2231,170,67,591,118,613,91,8.0,29,25,3,49,7,16,4.0,11.0,2009
Deccan Chargers,1890,16,2283,173,99,657,157,691,101,1971,2408,195,79,704,135,745,110,12.0,34,55,5,66,13,15,8.0,6.0,2009
Delhi Capitals,1712,15,2021,188,51,631,150,602,75,1804,2131,171,69,623,127,683,106,19.0,35,68,4,61,15,15,5.0,7.0,2009
Kolkata Knight Riders,1522,13,1678,143,56,531,107,605,73,1562,1772,164,63,558,113,561,59,5.0,21,62,8,42,10,5,0.0,1.0,2009
Mumbai Indians,1610,13,1766,145,54,587,118,588,82,1565,1897,139,51,586,95,584,81,5.0,29,66,5,44,9,20,4.0,2.0,2009
Punjab Kings,1687,14,1768,139,61,618,107,637,87,1550,1928,164,60,481,130,624,76,11.0,19,48,7,49,5,14,2.0,4.0,2009
Rajasthan Royals,1547,13,1610,148,47,521,90,645,93,1616,1706,149,50,553,116,644,87,9.0,29,55,5,46,8,14,5.0,10.0,2009
Royal Challengers Bangalore,1929,16,2166,192,67,644,157,763,106,1912,2280,168,69,744,157,665,88,4.0,29,59,5,58,9,13,1.0,6.0,2009
Chennai Super Kings,1874,16,2365,244,86,628,110,678,79,1908,2520,233,88,677,117,653,93,15.0,45,64,9,57,10,21,0.0,3.0,2008
Deccan Chargers,1668,14,2117,205,92,573,73,625,93,1653,2229,221,80,593,86,554,67,7.0,40,59,4,45,7,10,1.0,3.0,2008
Delhi Capitals,1547,14,2000,218,54,580,103,499,77,1660,2118,205,86,591,78,599,96,12.0,33,49,5,54,14,21,2.0,3.0,2008
Kolkata Knight Riders,1557,13,1801,162,75,513,87,611,88,1350,1942,176,48,426,65,522,70,15.0,39,55,3,37,9,17,2.0,4.0,2008
Mumbai Indians,1584,14,1897,197,76,482,66,616,80,1627,2080,204,66,566,82,607,94,7.0,27,59,6,62,11,11,1.0,5.0,2008
Punjab Kings,1739,15,2340,231,95,608,97,596,79,1769,2464,227,93,568,113,654,95,10.0,38,61,5,44,12,25,0.0,8.0,2008
Rajasthan Royals,1861,16,2424,259,85,619,119,654,88,1899,2601,218,86,634,110,733,109,10.0,31,62,7,62,13,18,4.0,7.0,2008
Royal Challengers Bangalore,1659,14,1865,187,59,616,69,637,106,1623,1983,219,75,564,73,594,66,6.0,37,48,6,39,9,8,3.0,4.0,2008
