balls_faced,matches_played,runs,4s,6s,1s,2s,bat_strike,explosivity_rating
55,8,95,13.0,3.0,11.0,7.0,172.73,0.29
14,2,9,0.0,0.0,4.0,2.0,64.29,0.0
166,10,191,22.0,4.0,49.0,11.0,115.06,0.16
116,8,147,12.0,8.0,47.0,2.0,126.72,0.17
17,4,10,0.0,0.0,8.0,1.0,58.82,0.0
291,22,408,45.0,11.0,121.0,19.0,140.21,0.19
21,7,36,5.0,1.0,6.0,2.0,171.43,0.29
76,5,90,4.0,7.0,30.0,1.0,118.42,0.14
150,9,164,21.0,3.0,36.0,10.0,109.33,0.16
302,19,293,32.0,3.0,109.0,17.0,97.02,0.12
31,3,38,5.0,0.0,14.0,2.0,122.58,0.16
477,53,770,93.0,44.0,96.0,14.0,161.43,0.29
1575,71,1986,174.0,49.0,708.0,132.0,126.1,0.14
2044,78,2334,295.0,29.0,720.0,116.0,114.19,0.16
2636,129,3580,344.0,177.0,845.0,132.0,135.81,0.2
1326,59,1627,146.0,64.0,520.0,64.0,122.7,0.16
7,1,6,1.0,0.0,2.0,0.0,85.71,0.14
1094,62,1262,92.0,45.0,449.0,82.0,115.36,0.13
573,30,768,84.0,39.0,126.0,22.0,134.03,0.21
700,66,880,66.0,35.0,262.0,61.0,125.71,0.14
1688,85,2159,168.0,87.0,674.0,130.0,127.9,0.15
256,19,334,31.0,10.0,99.0,24.0,130.47,0.16
26,5,23,1.0,1.0,13.0,0.0,88.46,0.08
106,10,137,11.0,5.0,36.0,13.0,129.25,0.15
116,6,120,20.0,1.0,28.0,3.0,103.45,0.18
39,15,27,2.0,0.0,16.0,1.0,69.23,0.05
46,9,81,7.0,6.0,12.0,0.0,176.09,0.28
615,46,748,70.0,20.0,257.0,44.0,121.63,0.15
15,3,13,1.0,0.0,5.0,2.0,86.67,0.07
3,2,5,1.0,0.0,1.0,0.0,166.67,0.33
6,3,1,0.0,0.0,1.0,0.0,16.67,0.0
8,1,2,0.0,0.0,2.0,0.0,25.0,0.0
48,4,51,5.0,0.0,22.0,4.0,106.25,0.1
374,22,485,41.0,15.0,172.0,26.0,129.68,0.15
31,5,36,3.0,1.0,13.0,2.0,116.13,0.13
1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
31,5,43,6.0,1.0,11.0,1.0,138.71,0.23
20,3,12,0.0,0.0,8.0,2.0,60.0,0.0
16,2,11,0.0,1.0,3.0,1.0,68.75,0.06
16,2,10,0.0,1.0,4.0,0.0,62.5,0.06
26,3,31,3.0,0.0,9.0,5.0,119.23,0.12
19,4,12,0.0,0.0,6.0,3.0,63.16,0.0
14,4,12,0.0,1.0,2.0,2.0,85.71,0.07
29,2,10,0.0,0.0,10.0,0.0,34.48,0.0
91,13,115,8.0,4.0,34.0,10.0,126.37,0.13
25,3,22,3.0,0.0,10.0,0.0,88.0,0.12
587,39,676,55.0,26.0,205.0,43.0,115.16,0.14
1041,49,1145,139.0,24.0,332.0,53.0,109.99,0.16
151,10,205,12.0,8.0,66.0,21.0,135.76,0.13
11,3,8,0.0,0.0,5.0,0.0,72.73,0.0
59,5,75,9.0,2.0,15.0,6.0,127.12,0.19
11,3,8,0.0,1.0,2.0,0.0,72.73,0.09
1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
15,1,7,1.0,0.0,3.0,0.0,46.67,0.07
314,20,300,32.0,9.0,88.0,15.0,95.54,0.13
72,4,87,7.0,3.0,31.0,5.0,120.83,0.14
133,33,122,11.0,4.0,46.0,4.0,91.73,0.11
19,4,39,1.0,5.0,5.0,0.0,205.26,0.32
4125,166,5245,464.0,179.0,1697.0,285.0,127.15,0.16
1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
1787,102,2639,328.0,98.0,544.0,92.0,147.68,0.24
401,24,515,30.0,22.0,189.0,35.0,128.43,0.13
26,2,29,3.0,1.0,7.0,2.0,111.54,0.15
63,10,49,2.0,2.0,20.0,4.0,77.78,0.06
3,2,4,1.0,0.0,0.0,0.0,133.33,0.33
7,2,7,1.0,0.0,3.0,0.0,100.0,0.14
2,1,2,0.0,0.0,0.0,1.0,100.0,0.0
271,20,282,33.0,5.0,100.0,10.0,104.06,0.14
28,5,15,0.0,0.0,11.0,2.0,53.57,0.0
26,3,19,1.0,1.0,9.0,0.0,73.08,0.08
129,8,130,14.0,3.0,41.0,6.0,100.78,0.13
76,8,56,2.0,0.0,40.0,4.0,73.68,0.03
80,12,63,4.0,1.0,31.0,5.0,78.75,0.06
1363,91,1726,154.0,59.0,522.0,111.0,126.63,0.16
73,11,81,2.0,3.0,33.0,11.0,110.96,0.07
56,12,75,5.0,4.0,14.0,7.0,133.93,0.16
17,1,10,0.0,0.0,6.0,2.0,58.82,0.0
18,1,19,3.0,0.0,5.0,1.0,105.56,0.17
271,20,285,20.0,9.0,109.0,18.0,105.17,0.11
1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
865,52,985,77.0,37.0,340.0,53.0,113.87,0.13
1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
2282,149,3143,257.0,154.0,856.0,151.0,137.73,0.18
49,12,21,0.0,0.0,16.0,1.0,42.86,0.0
183,10,192,26.0,3.0,40.0,12.0,104.92,0.16
67,4,47,5.0,0.0,20.0,2.0,70.15,0.07
7,1,3,0.0,0.0,3.0,0.0,42.86,0.0
2108,121,2610,207.0,140.0,705.0,112.0,123.81,0.16
141,27,117,11.0,2.0,46.0,7.0,82.98,0.09
