0,1,2,3,4,5,6,bowler,Innings,Runs,Extras,Dismissals,Balls Bowled,4s,6s,0s,1s,2s,Highest Conceeded,Strike Rate,Bowling Average,economy,Runs Conceded
13.0,4.0,1.0,2.0,1.0,0.0,0.0,ST Jayasuriya,21,375,21,16,294,22.0,16.0,93.0,149.0,21.0,39,18.375,23.4375,7.653061224489796,396
41.0,17.0,4.0,1.0,0.0,0.0,0.0,STR Binny,63,741,22,28,595,76.0,14.0,221.0,250.0,47.0,32,21.25,26.464285714285715,7.472268907563025,763
8.0,5.0,4.0,3.0,1.0,0.0,0.0,SW Tait,21,557,111,26,482,71.0,12.0,281.0,143.0,25.0,46,18.53846153846154,21.423076923076923,6.933609958506223,668
0.0,1.0,1.0,0.0,0.0,0.0,0.0,Sachin Baby,2,8,0,3,10,1.0,0.0,5.0,4.0,0.0,4,3.3333333333333335,2.6666666666666665,4.800000000000001,8
29.0,42.0,21.0,9.0,3.0,0.0,0.0,Sandeep Sharma,104,2920,126,123,2326,296.0,106.0,1062.0,778.0,149.0,61,18.910569105691057,23.739837398373982,7.532244196044712,3046
14.0,4.0,3.0,1.0,0.0,0.0,0.0,Shahbaz Ahmed,22,461,17,13,331,26.0,24.0,99.0,171.0,21.0,40,25.46153846153846,35.46153846153846,8.356495468277945,478
5.0,2.0,2.0,1.0,0.0,0.0,0.0,Shahid Afridi,10,220,17,9,181,19.0,7.0,70.0,76.0,13.0,31,20.11111111111111,24.444444444444443,7.292817679558011,237
24.0,24.0,19.0,3.0,0.0,0.0,0.0,Shakib Al Hasan,70,1802,62,71,1484,120.0,78.0,554.0,676.0,85.0,46,20.901408450704224,25.380281690140844,7.285714285714285,1864
2.0,0.0,0.0,0.0,0.0,0.0,0.0,Shashank Singh,2,19,1,0,12,2.0,0.0,2.0,7.0,2.0,10,inf,inf,9.5,20
8.0,17.0,6.0,0.0,1.0,0.0,0.0,Shivam Mavi,32,903,55,33,655,92.0,38.0,300.0,208.0,48.0,56,19.848484848484848,27.363636363636363,8.27175572519084,958
2.0,2.0,1.0,0.0,0.0,0.0,0.0,Shivam Sharma,5,165,0,4,114,9.0,10.0,37.0,47.0,11.0,44,28.5,41.25,8.68421052631579,165
4.0,1.0,2.0,0.0,0.0,0.0,0.0,Shoaib Ahmed,7,151,3,5,102,14.0,7.0,36.0,40.0,5.0,30,20.4,30.2,8.882352941176471,154
1.0,1.0,0.0,0.0,1.0,0.0,0.0,Shoaib Akhtar,3,50,4,5,42,6.0,2.0,27.0,8.0,3.0,28,8.4,10.0,7.142857142857142,54
3.0,2.0,0.0,0.0,0.0,0.0,0.0,Shoaib Malik,5,77,10,2,52,7.0,3.0,23.0,19.0,6.0,29,26.0,38.5,8.884615384615385,87
3.0,2.0,1.0,0.0,0.0,0.0,0.0,Simarjeet Singh,6,129,14,4,109,17.0,4.0,61.0,26.0,4.0,26,27.25,32.25,7.100917431192661,143
3.0,2.0,0.0,4.0,1.0,0.0,1.0,Sohail Tanvir,11,246,29,24,248,27.0,7.0,148.0,70.0,13.0,39,10.333333333333334,10.25,5.951612903225806,275
1.0,0.0,0.0,0.0,0.0,0.0,0.0,Sunny Gupta,1,45,2,0,18,4.0,3.0,1.0,11.0,0.0,45,inf,inf,15.0,47
4.0,1.0,0.0,0.0,0.0,0.0,0.0,Swapnil Singh,5,89,1,1,60,1.0,6.0,11.0,37.0,6.0,29,60.0,89.0,8.9,90
1.0,1.0,0.0,0.0,0.0,0.0,0.0,T Henderson,2,40,1,1,36,5.0,0.0,15.0,12.0,4.0,30,36.0,40.0,6.666666666666667,41
10.0,12.0,8.0,5.0,0.0,0.0,0.0,T Natarajan,35,1055,61,43,760,94.0,44.0,290.0,316.0,48.0,58,17.674418604651162,24.53488372093023,8.328947368421051,1116
