player,batter_matches_played,runs_scored,dismissals,balls_faced,0s_scored,1s_scored,2s_scored,4s_scored,6s_scored,high_score,25_scored,50_scored,75_scored,100_scored,strike_rate_x,batting_average,notout,explosivity_rating,0_wickets_taken,1_wickets_taken,2_wickets_taken,3_wickets_taken,4_wickets_taken,5_wickets_taken,6_wickets_taken,bowler_matches_played,runs_conceded,extras_runs_conceded,wickets_taken,balls_bowled,4s_conceded,6s_conceded,0s_conceded,1s_conceded,2s_conceded,highest_conceded,strike_rate_y,bowling_average,economy,total_runs_conceded
V Sehwag,102.0,2639.0,98.0,1713.0,719.0,547.0,93.0,328.0,98.0,122.0,20.0,15.0,6.0,2.0,154.05720957384705,26.928571428571427,4.0,0.25,9.0,4.0,1.0,0.0,0.0,0.0,0.0,14.0,212.0,2.0,6.0,131.0,16.0,15.0,45.0,52.0,3.0,30.0,21.833333333333332,35.333333333333336,9.709923664122137,214.0
V Shankar,38.0,689.0,27.0,573.0,207.0,262.0,50.0,42.0,26.0,63.0,10.0,3.0,0.0,0.0,120.24432809773124,25.51851851851852,11.0,0.12,11.0,10.0,1.0,0.0,0.0,0.0,0.0,22.0,323.0,21.0,12.0,243.0,29.0,12.0,97.0,106.0,13.0,37.0,20.25,26.916666666666668,7.9753086419753085,344.0
VG Arora,4.0,5.0,2.0,13.0,9.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,38.46153846153847,2.5,2.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,161.0,4.0,4.0,107.0,20.0,6.0,42.0,39.0,3.0,41.0,26.75,40.25,9.02803738317757,165.0
VH Zol,2.0,29.0,2.0,26.0,13.0,7.0,2.0,3.0,1.0,16.0,0.0,0.0,0.0,0.0,111.53846153846155,14.5,0.0,0.15,,,,,,,,,,,,,,,,,,,,,,
VR Aaron,12.0,50.0,4.0,72.0,43.0,22.0,4.0,2.0,2.0,17.0,0.0,0.0,0.0,0.0,69.44444444444444,12.5,8.0,0.06,22.0,9.0,17.0,1.0,0.0,0.0,0.0,49.0,1385.0,125.0,46.0,996.0,157.0,51.0,479.0,308.0,52.0,60.0,21.652173913043477,30.108695652173914,8.343373493975903,1510.0
VR Iyer,22.0,552.0,20.0,457.0,215.0,158.0,26.0,54.0,21.0,67.0,4.0,5.0,0.0,0.0,120.78774617067833,27.6,2.0,0.16,6.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,112.0,5.0,3.0,76.0,8.0,5.0,20.0,40.0,5.0,29.0,25.333333333333332,37.333333333333336,8.842105263157894,117.0
VRV Singh,2.0,4.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,133.33333333333331,4.0,1.0,0.33,5.0,6.0,2.0,2.0,0.0,0.0,0.0,15.0,458.0,17.0,16.0,333.0,52.0,11.0,122.0,128.0,25.0,55.0,20.8125,28.625,8.252252252252253,475.0
VS Malik,2.0,7.0,1.0,7.0,3.0,3.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,100.0,7.0,1.0,0.14,7.0,3.0,1.0,0.0,0.0,0.0,0.0,11.0,220.0,12.0,5.0,189.0,28.0,3.0,86.0,66.0,9.0,28.0,37.8,44.0,6.984126984126984,232.0
VS Yeligati,1.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,100.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,53.0,8.0,0.0,30.0,7.0,2.0,10.0,13.0,0.0,42.0,inf,inf,10.6,61.0
VVS Laxman,20.0,282.0,16.0,267.0,123.0,100.0,10.0,33.0,5.0,52.0,3.0,1.0,0.0,0.0,105.61797752808988,17.625,4.0,0.14,,,,,,,,,,,,,,,,,,,,,,
