bowler,True Economy_death,True SR_death,dotpercentage_death,Containment_death,True Economy_middle,True SR_middle,dotpercentage_middle,Containment_middle,True Economy_powerplay,True SR_powerplay,dotpercentage_powerplay,Containment_powerplay
AB Agarkar,0.499869335,0.392418474,0.271186441,0.210526316,0.628323188,0.432776008,0.398062954,0.218500797,0.454086952,0.261838795,0.534104046,0.167173252
AB Dinda,0.499017266,0.513360169,0.316256158,0.201886792,0.744638238,0.389435782,0.460273973,0.406533575,0.573537381,0.298124842,0.614303639,0.287445399
AB McDonald,0.511176471,0.512553109,0.36,0.257142857,0.597797063,0.422579794,0.289285714,0.189473684,0.440398782,0.297007758,0.4,0.165484634
AC Thomas,0.513218391,0.365005794,0.216216216,0.19047619,0.701585991,0.66763387,0.436363636,0.280701754,0.618776399,0.304626893,0.672,0.359501101
AC Voges,0.665151515,0.555040556,0.2,0.1,0.597897759,0.321814825,0.3,0.236842105,0.380794107,0.287864795,0.5,0.075987842
AD Mascarenhas,0.523745819,0.464658169,0.276923077,0.3,0.702564492,0.408863097,0.414545455,0.4,0.531248507,0.31362659,0.578313253,0.293470286
AD Mathews,0.561646338,0.440953485,0.298039216,0.304,0.627925879,0.325879475,0.325748503,0.198830409,0.444989918,0.293929319,0.483870968,0.177304965
AD Russell,0.525652564,0.540075165,0.355764706,0.22300885,0.621279623,0.442984158,0.38778135,0.183981693,0.542662498,0.307877724,0.553333333,0.235460993
AF Milne,0.555352113,0.512061519,0.370909091,0.283333333,0.51705674,0.23450277,0.312,0.114035088,0.482267581,0.215736978,0.49787234,0.17287234
AG Murtaza,0.523079214,0.368713789,0.156521739,0.12,0.645978093,0.503561066,0.387341772,0.206477733,0.646771731,0.250615688,0.723076923,1
AJ Finch,0.76038961,0.541135574,0.685714286,0.4,0.464958976,0.446056449,0.2,0.07518797,0.808149761,0.374214998,0.8,0.212765957
AJ Tye,0.590241032,0.53637183,0.326501767,0.28,0.658265527,0.408269586,0.268020305,0.159709619,0.588526528,0.324738062,0.555319149,0.237315876
AL Menaria,0.319130435,0.527230591,0.24,0.1,0.674998784,0.466433659,0.428571429,0.394736842,0.638308827,0.259081394,0.525,0.319148936
AM Nayar,0.5,0.568945539,0.2,0.1,0.678561478,0.404793307,0.361111111,0.213815789,0.452717983,0.374214998,0.6,0.106382979
AM Salvi,0.545454545,0.388180765,0.16,0.2,0.657641219,0.428152203,0.530769231,0.269005848,0.524237792,0.096088331,0.5625,0.265957447
AN Ahmed,0.511585334,0.528292777,0.316483516,0.266666667,0.656424401,0.321431914,0.353571429,0.204334365,0.53195205,0.187766285,0.581538462,0.257774141
AP Dole,0.7,0.568945539,0.4,0.266666667,0.684795481,0.478501715,0.313043478,0.210526316,0.340020102,0.291928334,0.4,0.106382979
AR Patel,0.589652062,0.443830793,0.39,0.35862069,0.700379369,0.389013637,0.38421646,0.313033894,0.575939367,0.27602529,0.48,0.258358663
AS Joseph,0.591801242,0.565023621,0.42,0.42,0.550482173,0.37023093,0.413793103,0.166204986,0.435993927,0.231178426,0.6,0.180388529
AS Rajpoot,0.51263836,0.51118638,0.218181818,0.138461538,0.63326148,0.423467063,0.467114094,0.218045113,0.48757996,0.236343636,0.535384615,0.1898527
Abhishek Sharma,0.516666667,0.568945539,0,0,0.60007783,0.40557759,0.271875,0.190789474,0.569938856,0.577391947,0.533333333,0.212765957
Akash Deep,0.292081448,0.701042874,0.211764706,0.075,0.517029268,0.353142893,0.436363636,0.168421053,0.435880763,0.36811969,0.496551724,0.212765957
Akash Singh,0.425,0.73580533,0,0,0.890324565,0.601160644,0.4,0.105263158,0.448383449,0.32545253,0.5,0.132978723
Anand Rajan,0.482396694,0.535481899,0.39,0.216666667,0.604740126,0.43814297,0.387096774,0.350877193,0.594863174,0.197451053,0.685714286,0.364741641
Ankit Sharma,0.535333333,0.388180765,0.288,0.2,0.647856693,0.371142179,0.385714286,0.301435407,0.631199673,0.304844583,0.566666667,0.380739082
Ankit Soni,0.044117647,0.707995365,0,0,0.689898934,0.414402532,0.392079208,0.248120301,0.939424216,0.323420761,0.8,0.212765957
Anureet Singh,0.519467098,0.481962148,0.330708661,0.205882353,0.588765446,0.374923063,0.294915254,0.138755981,0.619476386,0.350849649,0.584415584,0.265957447
Arshdeep Singh,0.589116883,0.443446295,0.327272727,0.340909091,0.68137738,0.440075092,0.39389313,0.238227147,0.554578151,0.296132968,0.49305136,0.229652145
Avesh Khan,0.588236729,0.457609264,0.367010309,0.296666667,0.65963691,0.44996081,0.498360656,0.296296296,0.513057136,0.280003782,0.6,0.230272017
Azhar Mahmood,0.555134026,0.492357777,0.332673267,0.243478261,0.697854913,0.392320157,0.492972973,0.347826087,0.553813818,0.283011123,0.562237762,0.356382979
B Akhil,0.525653061,0.260718424,0.293877551,0.184615385,0.677200777,0.382341636,0.437209302,0.412280702,0.253329425,0.313261914,0.2,0.035460993
B Geeves,0.408333333,0.73580533,0.6,0.2,0.365411511,0.367910841,0.333333333,0.07518797,0.291371876,0.370151459,0.35,0.074468085
B Kumar,0.575684679,0.489700691,0.341186891,0.311650485,0.633316261,0.371531258,0.33431085,0.188679245,0.647176672,0.269189447,0.679205607,0.409067882
B Laughlin,0.481701319,0.638470452,0.304225352,0.189473684,0.606011226,0.352479557,0.3,0.175438596,0.541519239,0.344686615,0.308571429,0.119680851
B Lee,0.561701442,0.332817147,0.364356436,0.368,0.696136247,0.433466823,0.489473684,0.466165414,0.56134548,0.192667028,0.640851064,0.300023906
B Stanlake,0.608333333,0.73580533,0.2,0.1,0.580850546,0.45333685,0.488888889,0.210526316,0.561210934,0.180906644,0.585714286,0.272606383
BA Bhatt,0.582496392,0.238702202,0.285714286,0.25,0.575553206,0.404623733,0.336363636,0.194736842,0.554735759,0.326355539,0.5125,0.272606383
BA Stokes,0.544939603,0.494384526,0.353684211,0.28,0.681469886,0.280637444,0.384982935,0.230110159,0.515204824,0.294240473,0.525842697,0.180388529
BAW Mendis,0.601433692,0.391973033,0.333333333,0.333333333,0.717927064,0.361452046,0.344186047,0.324561404,0.587594842,0.288203423,0.496551724,0.319148936
BB Sran,0.558047389,0.490150637,0.279069767,0.266666667,0.568666842,0.391792591,0.361445783,0.164473684,0.456555863,0.191554937,0.525,0.193065406
BCJ Cutting,0.428439024,0.239695415,0.224,0.133333333,0.649293479,0.410031277,0.390184049,0.19924812,0.473541544,0.241743628,0.285714286,0.106382979
BE Hendricks,0.610753532,0.565469293,0.461538462,0.4,0.603274266,0.386140106,0.377142857,0.192982456,0.482440501,0.160879202,0.42,0.14893617
BJ Hodge,0.494444444,0.617612978,0.466666667,0.466666667,0.617244335,0.478294747,0.359322034,0.253588517,0.483707086,0.253663342,0.514285714,0.227963526
BW Hilfenhaus,0.476365181,0.457792044,0.357446809,0.2,0.529389618,0.433394883,0.4,0.210526316,0.600092135,0.297437555,0.690909091,0.404255319
Basil Thampi,0.498254219,0.510660487,0.247058824,0.162790698,0.645421239,0.402532313,0.342857143,0.171052632,0.484592624,0.031627405,0.493670886,0.168655942
Bipul Sharma,0.349038462,0.17202149,0.3,0.133333333,0.654000386,0.411799082,0.32971246,0.258646617,0.611812673,0.314684152,0.608219178,0.328014184
C Sakariya,0.567355372,0.421259077,0.283018868,0.263157895,0.690908492,0.446173069,0.315151515,0.18245614,0.592683242,0.279399089,0.545454545,0.346901018
