bowler,bowler_id,True Economy_death,True SR_death,dotpercentage_death,Containment_death,True Economy_middle,True SR_middle,dotpercentage_middle,Containment_middle,True Economy_powerplay,True SR_powerplay,dotpercentage_powerplay,Containment_powerplay
B Akhil,111,-0.7304081632653059,-16.166666666666664,0.24489795918367346,0.9230769230769231,0.4850061199510405,-4.085714285714285,0.3643410852713178,3.9166666666666665,-7.0,9.0,0.16666666666666666,0.3333333333333333
B Geeves,449,-4.25,18.0,0.5,1.0,-5.022988505747127,-7.125,0.2777777777777778,0.7142857142857143,-6.122340425531915,23.0,0.2916666666666667,0.7
B Kumar,490,0.7705403703799156,0.30097465886939645,0.2843224092116918,1.558252427184466,-0.29024725147651687,-6.362500000000001,0.2785923753665689,1.7924528301886793,2.086265293615532,-1.845833333333335,0.5660046728971962,3.8452380952380953
B Laughlin,568,-2.0489604292421184,11.0,0.2535211267605634,0.9473684210526315,-0.7726114649681524,-10.375,0.25,1.6666666666666667,-0.3513078470824951,16.733333333333334,0.2571428571428571,1.125
B Lee,278,0.351043273767619,-10.981566820276496,0.30363036303630364,1.84,0.8195156031672104,6.681818181818183,0.40789473684210525,4.428571428571429,0.1060940675268709,-20.677304964539005,0.5340425531914894,2.8202247191011236
B Stanlake,499,1.75,18.0,0.16666666666666666,0.5,-1.2170940170940163,10.866666666666667,0.4074074074074074,2.0,0.10299003322259193,-23.571428571428573,0.4880952380952381,2.5625
BA Bhatt,419,0.9748917748917751,-17.75,0.23809523809523808,1.25,-1.3106755629691413,0.6071428571428577,0.2803030303030303,1.85,-0.04639570552147276,12.222222222222221,0.4270833333333333,2.5625
BA Stokes,366,-0.1518119068162207,0.6378205128205128,0.29473684210526313,1.4,0.5604231779208888,-25.505747126436784,0.32081911262798635,2.186046511627907,-0.9583953792698878,4.318996415770609,0.43820224719101125,1.6956521739130435
BAW Mendis,312,1.5430107526881738,-6.727272727272727,0.2777777777777778,1.6666666666666667,1.2044669583237404,-8.485294117647058,0.2868217054263566,3.0833333333333335,0.7116808088102546,2.833333333333332,0.41379310344827586,3.0
BB Sran,625,0.2414216761737613,0.33333333333333215,0.23255813953488372,1.3333333333333333,-1.432328432673426,-2.095238095238095,0.30120481927710846,1.5625,-2.3114580661708146,-20.950980392156865,0.4375,1.8148148148148149
BCJ Cutting,104,-3.6468292682926826,-17.67857142857143,0.18666666666666668,0.6666666666666666,-0.007997528357681638,1.746031746031747,0.32515337423312884,1.8928571428571428,-1.9195893926432852,-8.600000000000001,0.23809523809523808,1.0
BE Hendricks,627,1.8226059654631097,5.75,0.38461538461538464,2.0,-0.8209619526202445,-3.2857142857142865,0.3142857142857143,1.8333333333333333,-1.7142857142857153,-28.5,0.35,1.4
BJ Hodge,94,-1.666666666666666,9.5,0.3888888888888889,2.3333333333333335,-0.574170051827986,16.123076923076923,0.2994350282485876,2.409090909090909,-1.6850649350649345,-5.666666666666668,0.42857142857142855,2.142857142857143
BW Hilfenhaus,588,-2.2090445756815775,-1.9937888198757765,0.2978723404255319,1.0,-2.1261904761904766,6.666666666666668,0.3333333333333333,2.0,1.0,5.10576923076923,0.5757575757575758,3.8
Basil Thampi,334,-1.5523734426746554,1.8083333333333336,0.20588235294117646,0.813953488372093,-0.07640359640359584,0.16666666666666785,0.2857142857142857,1.625,-1.664635099234257,-60.30769230769231,0.41139240506329117,1.5853658536585367
Bipul Sharma,622,-6.028846153846153,-22.545454545454547,0.25,0.6666666666666666,0.07515355215756792,2.118351063829788,0.2747603833865815,2.4571428571428573,1.270399047051816,9.350000000000001,0.5068493150684932,3.0833333333333335
C Sakariya,558,0.5206611570247937,-4.621118012422359,0.2358490566037736,1.3157894736842106,0.7271633300514182,9.357894736842105,0.26262626262626265,1.7333333333333334,0.8290729072907288,0.6666666666666643,0.45454545454545453,3.260869565217391
C de Grandhomme,246,-5.655801825293352,6.666666666666668,0.07692307692307693,0.25,-0.8566149297856622,-4.350649350649352,0.26737967914438504,1.7857142857142858,1.637931034482759,17.0,0.5833333333333334,2.3333333333333335
CH Gayle,279,0.953672471948785,-2.955555555555554,0.3150684931506849,1.84,0.365570814727441,-18.927223719676547,0.3054545454545455,2.7096774193548385,1.0234048896839596,-14.428571428571427,0.42735042735042733,2.5
CH Morris,117,1.1189267585206668,0.901704545454546,0.2904761904761905,1.7264150943396226,0.11855514683712265,2.0470085470085486,0.3836317135549872,2.34375,0.07193712436430921,-2.9883333333333333,0.5037593984962406,2.5968992248062017
CJ Anderson,453,-3.498868079851821,-1.5238095238095237,0.22093023255813954,0.6333333333333333,-0.09388104793254293,1.982608695652175,0.21641791044776118,1.2608695652173914,-4.2873547505126455,6.799999999999997,0.44285714285714284,1.4090909090909092
CJ Jordan,98,-1.2372569881032973,-3.4720720720720717,0.23222748815165878,0.9245283018867925,0.6033519553072626,9.195121951219512,0.3431372549019608,2.6923076923076925,-1.8183393814656341,-0.5043478260869563,0.4144144144144144,1.7037037037037037
CJ McKay,22,6.0,6.0,0.25,1.0,0.8560606060606055,11.333333333333332,0.3888888888888889,3.5,-7.813559322033898,47.0,0.3333333333333333,0.6666666666666666
CK Langeveldt,537,-0.867879203843513,3.75,0.2553191489361702,1.7142857142857142,0.7866526537046763,35.916666666666664,0.45454545454545453,2.5,0.29761904761904834,5.166666666666668,0.5802469135802469,3.1333333333333333
CR Brathwaite,46,-1.5880774962742166,7.392857142857143,0.3090909090909091,1.2142857142857142,-0.992889027301981,1.9353448275862064,0.27485380116959063,1.5666666666666667,0.40000000000000036,36.0,0.4166666666666667,1.6666666666666667
CR Woakes,600,-0.10531655844155807,3.1750000000000007,0.2987012987012987,1.15,1.2660171057990528,5.5440613026819925,0.3898305084745763,2.875,-1.1566433566433556,-0.117647058823529,0.4423076923076923,1.725
CRD Fernando,636,-0.75,5.371428571428572,0.3,1.5,0.8802469992367996,5.133333333333333,0.5070422535211268,4.0,0.15338842975206557,23.857142857142854,0.52,2.7857142857142856
CV Varun,203,1.2699975387644589,-6.136363636363637,0.3382352941176471,2.090909090909091,0.4212404413000712,0.24866440019427216,0.34789391575663026,3.0547945205479454,0.7806770688213982,0.206666666666667,0.41621621621621624,2.75
D Wiese,210,-1.2722235049642112,0.5673076923076916,0.26229508196721313,1.0,-0.9767405779300544,-37.80555555555556,0.2129032258064516,1.1379310344827587,2.591439688715953,33.16666666666667,0.5172413793103449,3.75
D du Preez,229,-0.7272727272727266,16.0,0.0,0.0,-2.2666666666666675,27.0,0.3333333333333333,2.0,0.5555555555555554,48.0,0.6666666666666666,4.0
DAJ Bracewell,45,0.09090909090909172,19.0,0.3333333333333333,0.6666666666666666,-0.2857142857142856,2.0,0.3333333333333333,2.0,0.7142857142857153,22.0,0.6666666666666666,2.0
DE Bollinger,298,1.4661383593917323,5.7857142857142865,0.3826086956521739,2.933333333333333,2.3403263403263406,67.0,0.4444444444444444,4.0,-0.02553991749575424,-5.720779220779221,0.5064102564102564,2.5901639344262297
DJ Bravo,253,0.15117610317678754,2.112403100775195,0.2930780559646539,1.5793650793650793,0.008796646340099912,-1.2373188405797109,0.32972972972972975,2.392156862745098,0.06552816171900488,11.550868486352357,0.49557522123893805,2.488888888888889
DJ Hooda,208,-3.523530488921441,-30.3,0.20930232558139536,0.6428571428571429,-0.31375818939845157,-14.000000000000004,0.25217391304347825,2.0,-0.6446540880503147,-16.125,0.4027777777777778,1.9333333333333333
DJ Hussey,267,-4.5749792874896436,-15.357142857142858,0.29411764705882354,0.9375,-0.5781818181818199,-3.375,0.27555555555555555,2.066666666666667,-2.451063829787236,-11.5,0.2571428571428571,1.0
