BatterName,OverNo,Dot,1,2,3,4,5,6,Wickets,TotalBalls
MM Ali,7,14,17,3,0,1,0,4,2,41
MM Ali,8,15,17,3,0,2,0,3,3,43
MM Ali,9,17,20,3,0,4,0,5,1,50
MM Ali,10,14,13,2,0,5,0,2,3,39
MM Ali,11,7,26,3,0,2,0,2,2,42
MM Ali,12,11,21,4,0,6,0,5,1,48
MM Ali,13,20,18,1,0,4,0,4,1,48
MM Ali,14,17,13,0,0,4,0,4,6,44
MM Ali,15,13,8,3,0,4,0,6,1,35
MM Ali,16,11,9,4,0,3,0,3,2,32
MM Ali,17,6,6,1,0,3,0,1,2,19
MM Ali,18,4,8,1,0,5,0,1,1,20
MM Ali,19,9,3,1,0,4,0,1,4,22
N Jagadeesan,1,1,0,0,0,0,0,0,1,2
N Jagadeesan,2,0,0,0,0,0,0,0,0,0
N Jagadeesan,3,0,0,0,0,0,0,0,0,0
N Jagadeesan,4,0,0,0,0,0,0,0,0,0
N Jagadeesan,5,1,1,0,0,0,0,0,0,2
N Jagadeesan,6,2,2,0,0,0,0,0,0,4
N Jagadeesan,7,1,3,0,0,0,0,0,0,4
N Jagadeesan,8,4,2,0,0,1,0,0,1,8
N Jagadeesan,9,3,1,0,0,0,0,0,0,4
N Jagadeesan,10,1,3,1,0,1,0,0,0,6
N Jagadeesan,11,2,2,0,0,0,0,0,0,4
N Jagadeesan,12,2,4,0,0,3,0,0,0,9
N Jagadeesan,13,1,5,1,0,1,0,0,0,8
N Jagadeesan,14,3,1,0,0,1,0,1,1,7
N Jagadeesan,15,0,2,0,0,0,0,0,0,2
N Jagadeesan,16,0,1,0,0,0,0,0,0,1
N Jagadeesan,17,1,2,0,0,0,0,0,0,3
N Jagadeesan,18,4,3,0,0,0,0,0,0,7
N Jagadeesan,19,1,1,1,0,0,0,0,0,3
AT Rayudu,1,48,20,2,0,7,0,1,6,84
AT Rayudu,2,68,28,1,0,9,0,6,4,116
AT Rayudu,3,81,48,3,0,20,0,5,4,161
AT Rayudu,4,94,51,10,0,25,0,3,2,185
AT Rayudu,5,91,57,7,0,28,0,8,6,197
AT Rayudu,6,79,84,12,0,16,0,2,4,197
AT Rayudu,7,72,114,6,0,10,0,3,5,210
AT Rayudu,8,68,108,7,0,19,0,8,8,218
AT Rayudu,9,54,116,12,0,18,0,2,5,207
AT Rayudu,10,83,113,16,0,23,0,10,8,253
AT Rayudu,11,74,105,9,0,24,0,16,10,238
AT Rayudu,12,69,112,16,0,16,0,9,3,225
AT Rayudu,13,75,91,14,0,24,0,13,11,228
AT Rayudu,14,82,99,14,0,24,0,15,12,246
AT Rayudu,15,46,78,7,0,18,0,20,14,183
AT Rayudu,16,48,69,19,0,17,0,9,11,173
AT Rayudu,17,42,62,13,0,21,0,14,12,164
AT Rayudu,18,31,49,12,1,17,0,16,8,134
AT Rayudu,19,18,28,2,0,9,0,3,8,68
MS Dhoni,1,1,0,0,0,0,0,0,0,1
MS Dhoni,2,5,0,0,0,0,0,0,1,6
MS Dhoni,3,5,1,0,0,2,0,0,0,8
MS Dhoni,4,21,5,1,0,3,0,0,0,30
MS Dhoni,5,19,9,1,0,5,0,0,1,35
MS Dhoni,6,43,21,4,0,2,0,2,2,74
MS Dhoni,7,31,32,2,2,7,0,1,4,79
MS Dhoni,8,55,42,5,0,11,0,1,1,115
MS Dhoni,9,92,69,11,2,10,0,4,1,189
MS Dhoni,10,97,98,16,0,12,0,7,6,236
MS Dhoni,11,101,117,17,2,11,0,6,7,261
MS Dhoni,12,103,140,25,1,13,0,7,7,296
MS Dhoni,13,109,149,13,1,19,0,9,6,306
MS Dhoni,14,145,165,31,1,27,0,19,8,396
MS Dhoni,15,128,181,34,2,29,0,21,13,408
MS Dhoni,16,116,170,45,0,44,0,26,15,416
MS Dhoni,17,112,147,37,1,48,0,37,21,403
MS Dhoni,18,107,106,47,1,55,0,37,18,371
MS Dhoni,19,80,57,44,2,48,0,52,31,314
Simarjeet Singh,1,0,0,0,0,0,0,0,0,0
Simarjeet Singh,2,0,0,0,0,0,0,0,0,0
Simarjeet Singh,3,0,0,0,0,0,0,0,0,0
Simarjeet Singh,4,0,0,0,0,0,0,0,0,0
Simarjeet Singh,5,0,0,0,0,0,0,0,0,0
Simarjeet Singh,6,0,0,0,0,0,0,0,0,0
Simarjeet Singh,7,0,0,0,0,0,0,0,0,0
Simarjeet Singh,8,0,0,0,0,0,0,0,0,0
Simarjeet Singh,9,0,0,0,0,0,0,0,0,0
Simarjeet Singh,10,0,0,0,0,0,0,0,0,0
Simarjeet Singh,11,0,0,0,0,0,0,0,0,0
Simarjeet Singh,12,2,0,1,0,0,0,0,1,4
Simarjeet Singh,13,0,0,0,0,0,0,0,0,0
Simarjeet Singh,14,0,0,0,0,0,0,0,0,0
Simarjeet Singh,15,0,0,0,0,0,0,0,0,0
Simarjeet Singh,16,0,0,0,0,0,0,0,0,0
Simarjeet Singh,17,0,0,0,0,0,0,0,0,0
